"id","sex","name","last_name","email_addr","phone","date_of_birth","passport","locality_koatuu","locality_katottg","locality_type","locality_name","postal_code"
"909057889","True","Данило","Верес","trokhymredko@duplii-dzhun.com","0676463141","2002-07-22","НК 811368","8362763463","UA01000000000396150","місто","Радивилів","32791"
"222992485","False","Марта","Верменич","edyta99@holyk-yevtushok.com","+38(073)144-27-89","2016-01-04","195352596","8447652228","UA01000000000576403","хутір","Гола Пристань","74095"
"299247381","True","Богдан","Базилевський","iaroslavakorbut@derkach.com","+380950746622","2008-08-06","АМ 467677","8236839124","UA01000000000950935","село","Теребовля","23411"
"498376977","False","Юстина","Козак","babychvalentyn@romanchuk.info","0910694287","2022-06-29","990842832","8006215027","UA01000000000027693","місто","Зміїв","61882"
"115565342","False","Олена","Конопля","roman00@shakhrai.info","(095)951-94-06","2007-09-13","257889376","8382546429","UA01000000000777000","місто","Тараща","80401"
"81583679","True","Захар","Карась","romanzhadan@kalenychenko.net","+38(092)662-34-92","2016-05-05","714155409","8371378103","UA01000000000156086","хутір","Сокаль","18696"
"384966511","False","Аніта","Зайченко","kvenhrynovych@babko.укр","091 469 03 72","2015-07-22","ТВ 731176","8272127255","UA01000000000179961","село","Підгайці","34370"
"895371558","True","Леонтій","Артюшенко","priskaandriishyn@yemets-khudiak.net","+380920329042","2022-06-08","350025343","8262216192","UA01000000000348249","село","Кам'янка-Бузька","75532"
"889546477","False","Ольга","Скопенко","artymemiliia@komar-chekaliuk.укр","(073)622-83-98","2006-05-16","632455286","8378162063","UA01000000000532693","місто","Жовті Води","47983"
"2401718","False","Наталія","Ажажа","zabarademyd@tychyna.net","+38(066)834-51-59","2001-01-11","095360256","8117676420","UA01000000000457139","хутір","Підгородне","75419"
"739873031","False","Розалія","Прокопович","asauladavyd@yevdokymenko.com","+380685501296","2015-08-31","599698998","8197725624","UA01000000000445770","місто","Феодосія","26718"
"322570315","False","Вікторія","Єсипенко","prykhodkoviktoriia@vernydub-kolisnychenko.org","050 935 21 39","2003-06-02","654605246","8485091084","UA01000000000025232","хутір","Енергодар","87762"
"890035683","True","Гордій","Михайлюк","lstus@tereshchenko-vanchenko.org","(098)710-43-15","2007-02-01","ЕМ 419785","8104330368","UA01000000000547262","село","Болград","25233"
"103952693","False","Лариса","Дубас","hshukhevych@oberemko.укр","+38(096)387-14-14","2009-07-19","ВХ 080412","8317551744","UA01000000000707745","селище","Сімферополь","38062"
"230271095","True","Сергій","Штокало","tdemianenko@artym-franchuk.org","050 746 39 57","2017-10-05","878238238","8260854017","UA01000000000814657","хутір","Географія Вільнянська","48238"
"988598302","True","Данило","Бабак","liliiavdovychenko@vyshyvanyi.укр","(096)745-26-42","2014-09-14","ЕТ 571835","8103776619","UA01000000000173239","село","Гуляйполе","85010"
"95013239","False","Мілена","Ісаєнко","iarynatelizhenko@yakymenko.info","+380982702441","2008-10-12","НХ 661341","8400745031","UA01000000000898718","хутір","Богодухів","02874"
"351276546","False","Аніта","Шухевич","zlatoslava72@zabila.org","(094)253-63-47","2018-02-13","ХС 263079","8004011294","UA01000000000085960","місто","Щолкіне","97227"
"496059155","False","Аліна","Каденюк","panasshtepa@yaremkiv-skoryk.net","+380937071473","2020-11-03","263299226","8266390814","UA01000000000269298","місто","Армянськ","09960"
"935470754","False","Камілла","Ємець","irena56@riabovil.com","091 878 83 40","2005-12-07","ВА 365911","8185970753","UA01000000000413606","селище","Ясинувата","27938"
"414220158","False","Соломія","Іваненко","lubenetsmykolai@alekseienko-sirchenko.org","+380950827507","2009-04-18","749721885","8144448581","UA01000000000819700","місто","Ровеньки","36804"
"674450770","False","Галина","Юхименко","nhupalo@laba-prykhodko.org","0954879686","2001-12-18","858821354","8392503409","UA01000000000635355","місто","Севастополь","49873"
"56336150","True","Теодор","Філіпенко","bohuslav49@levchenko.info","(094)437-55-88","2008-04-05","290993949","8372682588","UA01000000000470738","селище","Бровари","85288"
"460955637","False","Камілла","Колісниченко","habelkooles@kolesnychenko.org","+380633725863","2019-01-24","894733194","8311430968","UA01000000000212269","селище","Носівка","53964"
"873666966","True","Тимофій","Скирда","okhrimieroshenko@yaremko-isaievych.укр","063 808 32 56","2011-01-31","662530560","8109428168","UA01000000000472609","хутір","Олевськ","04606"
"773518719","True","Іван","Наливайко","bohdan74@avramchuk.com","+380962061943","2018-05-27","557893186","8024526300","UA01000000000306663","село","Пологи ","45881"
"823544523","True","Ігор","Яремчук","zabrahamovska@romanchuk.укр","(092)874-33-04","2001-06-19","РО 261550","8023122528","UA01000000000591504","село","Болехів","46687"
"512104644","False","Амалія","Батіг","valeriiriaboshapka@makohon.org","0506228588","2011-02-27","ЕВ 722359","8077510406","UA01000000000153813","місто","Федорівка","60214"
"863195328","True","Венедикт","Мазур","bohodarvernydub@goliash-shapoval.com","+38(066)208-26-03","2006-02-21","МН 155807","8092395944","UA01000000000863846","село","Курахове","73873"
"447993023","True","Ігнат","Артюх","kvasylevych@teslenko-danko.info","+38(073)301-52-93","2007-09-08","749724772","8080346054","UA01000000000994315","селище","Кам'янка-Дніпровська","45270"
